Orgs that came for 1 yrs :
postgresql : 4 (yrs : 10 11 12 13 )
reviewboard : 4 (yrs : 9 10 11 12 )
sahana : 4 (yrs : 9 11 12 13 )
scilab : 4 (yrs : 9 10 11 12 )
systers : 4 (yrs : 9 10 12 13 )
tux4kids : 4 (yrs : 9 10 12 13 )
typo3 : 4 (yrs : 9 10 11 13 )
wordpress : 4 (yrs : 9 10 11 13 )
xorg : 4 (yrs : 9 10 11 13 )
xwiki : 4 (yrs : 9 11 12 13 )




Orgs that came for 5 yrs :


abiword : 5 (yrs : 9 10 11 12 13 )
apertium : 5 (yrs : 9 10 11 12 13 )
blender : 5 (yrs : 9 10 11 12 13 )
crystalspace : 5 (yrs : 9 10 11 12 13 )
debian : 5 (yrs : 9 10 11 12 13 )
django : 5 (yrs : 9 10 11 12 13 )
eclipse : 5 (yrs : 9 10 11 12 13 )
freebsd : 5 (yrs : 9 10 11 12 13 )
freenet : 5 (yrs : 9 10 11 12 13 )
gcc : 5 (yrs : 9 10 11 12 13 )
gentoo : 5 (yrs : 9 10 11 12 13 )
gephi : 5 (yrs : 9 10 11 12 13 )
gimp : 5 (yrs : 9 10 11 12 13 )
gnome : 5 (yrs : 9 10 11 12 13 )
haskell : 5 (yrs : 9 10 11 12 13 )
honeynet : 5 (yrs : 9 10 11 12 13 )
kde : 5 (yrs : 9 10 11 12 13 )
llvm : 5 (yrs : 9 10 11 12 13 )
melange : 5 (yrs : 9 10 11 12 13 )
mono : 5 (yrs : 9 10 11 12 13 )
mozilla : 5 (yrs : 9 10 11 12 13 )
nescent : 5 (yrs : 9 10 11 12 13 )
netbsd : 5 (yrs : 9 10 11 12 13 )
nmap : 5 (yrs : 9 10 11 12 13 )
openmrs : 5 (yrs : 9 10 11 12 13 )
osgeo : 5 (yrs : 9 10 11 12 13 )
osuosl : 5 (yrs : 9 10 11 12 13 )
python : 5 (yrs : 9 10 11 12 13 )
rtems : 5 (yrs : 9 10 11 12 13 )
samba : 5 (yrs : 9 10 11 12 13 )
scummvm : 5 (yrs : 9 10 11 12 13 )
wesnoth : 5 (yrs : 9 10 11 12 13 )
wikimedia : 5 (yrs : 9 10 11 12 13 )
wine : 5 (yrs : 9 10 11 12 13 )
worldforge : 5 (yrs : 9 10 11 12 13 )




